age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
71,Male,"$75,000 to $99,999",British Columbia,College or certificate,No,Has a partner,English only,Yes
64,Male,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,No
47,Male,"$75,000 to $99,999",Quebec,Less than high school,Yes,Has a partner,French only,Yes
58,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes
36,Female,"$125,000 and more",Ontario,College or certificate,No,Has a partner,English only,Yes
60,Female,"$100,000 to $ 124,999",Alberta,College or certificate,No,Has a partner,English only,Yes
66,Male,"$75,000 to $99,999",Manitoba,Less than high school,Yes,Has a partner,English only,No
78,Male,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,No
34,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
77,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,English only,No
75,Female,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Single,English only,Yes
71,Female,"$25,000 to $49,999",British Columbia,Less than high school,Yes,Single,English only,No
28,Male,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes
80,Male,"Less than $25,000",Quebec,Less than high school,Yes,Single,French only,No
40,Male,"$75,000 to $99,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,Yes
31,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,No
70,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,No
56,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,No,Has a partner,Both English and French,Yes
77,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,No
31,Male,"$25,000 to $49,999",Prince Edward Island,Bachelor's degree,Yes,Single,Both English and French,Yes
80,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No
33,Female,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
64,Female,"$50,000 to $74,999",Newfoundland and Labrador,College or certificate,Yes,Single,English only,No
57,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,No
41,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Single,English only,Yes
18,Female,"$125,000 and more",Ontario,Less than high school,No,Single,English only,Yes
40,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
49,Female,"$100,000 to $ 124,999",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes
65,Female,"Less than $25,000",Ontario,High school diploma,Yes,Has a partner,Both English and French,No
30,Male,"Less than $25,000",Prince Edward Island,College or certificate,Yes,Has a partner,English only,Yes
33,Male,"$125,000 and more",Alberta,High school diploma,No,Single,English only,Yes
26,Female,"Less than $25,000",British Columbia,High school diploma,No,Single,English only,Yes
39,Female,"$75,000 to $99,999",British Columbia,College or certificate,No,Has a partner,English only,Yes
70,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No
67,Female,"$25,000 to $49,999",Saskatchewan,High school diploma,Yes,Has a partner,English only,Yes
32,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,Both English and French,Yes
61,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
66,Female,"$125,000 and more",Ontario,Above bachelor,Yes,Single,Both English and French,No
59,Male,"$75,000 to $99,999",New Brunswick,Bachelor's degree,Yes,Single,Both English and French,Yes
63,Female,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes
44,Male,"$125,000 and more",Ontario,Above bachelor,No,Has a partner,Both English and French,Yes
51,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Has a partner,Both English and French,Yes
53,Female,"$125,000 and more",New Brunswick,High school diploma,Yes,Has a partner,English only,Yes
41,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
77,Female,"$25,000 to $49,999",Newfoundland and Labrador,Less than high school,Yes,Single,English only,No
17,Female,"$125,000 and more",Alberta,Less than high school,Yes,Single,English only,Yes
62,Male,"$125,000 and more",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,Yes
57,Male,"Less than $25,000",Alberta,High school diploma,Yes,Single,English only,No
80,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,No
69,Male,"Less than $25,000",British Columbia,College or certificate,Yes,Single,English only,No
65,Female,"$25,000 to $49,999",Nova Scotia,High school diploma,Yes,Single,English only,Yes
71,Male,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No
73,Female,"$25,000 to $49,999",Nova Scotia,Less than high school,Yes,Has a partner,Both English and French,No
80,Male,"$75,000 to $99,999",Ontario,Less than high school,Yes,Has a partner,English only,No
67,Female,"$25,000 to $49,999",Saskatchewan,High school diploma,Yes,Single,English only,Yes
62,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
67,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes
47,Male,"$25,000 to $49,999",Nova Scotia,Bachelor's degree,Yes,Single,English only,Yes
53,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes
20,Female,"$25,000 to $49,999",Manitoba,High school diploma,No,Single,English only,No
32,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes
78,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
24,Female,"Less than $25,000",Ontario,College or certificate,No,Single,English only,Yes
50,Female,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,Both English and French,No
63,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes
62,Female,"$50,000 to $74,999",Quebec,Above bachelor,Yes,Single,French only,No
36,Female,"$25,000 to $49,999",Alberta,College or certificate,No,Single,English only,Yes
63,Male,"$50,000 to $74,999",Ontario,Less than high school,No,Single,English only,Yes
68,Female,"$25,000 to $49,999",Newfoundland and Labrador,High school diploma,Yes,Single,English only,No
54,Male,"$125,000 and more",Newfoundland and Labrador,Above bachelor,Yes,Has a partner,English only,Yes
51,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
68,Male,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
58,Female,"$125,000 and more",Saskatchewan,Bachelor's degree,Yes,Has a partner,English only,Yes
52,Male,"$75,000 to $99,999",British Columbia,Bachelor's degree,No,Has a partner,English only,Yes
68,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
62,Female,"$75,000 to $99,999",Prince Edward Island,Bachelor's degree,Yes,Single,English only,Yes
24,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,Both English and French,Yes
72,Female,"$25,000 to $49,999",Prince Edward Island,Less than high school,Yes,Single,English only,Yes
68,Male,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,No
59,Male,"$125,000 and more",British Columbia,Bachelor's degree,No,Has a partner,English only,Yes
41,Female,"$50,000 to $74,999",New Brunswick,College or certificate,Yes,Single,English only,Yes
67,Female,"$125,000 and more",Alberta,College or certificate,Yes,Has a partner,English only,Yes
56,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,No
69,Male,"$25,000 to $49,999",British Columbia,High school diploma,Yes,Has a partner,English only,No
77,Male,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,No
54,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes
76,Female,"Less than $25,000",Prince Edward Island,Less than high school,Yes,Single,Both English and French,No
33,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes
31,Female,"Less than $25,000",Saskatchewan,College or certificate,Yes,Single,English only,Yes
54,Female,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes
53,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes
70,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No
65,Male,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,Yes
72,Female,"$50,000 to $74,999",Quebec,Less than high school,Yes,Has a partner,French only,No
37,Female,"Less than $25,000",Prince Edward Island,Bachelor's degree,No,Single,English only,Yes
31,Male,"$100,000 to $ 124,999",Quebec,College or certificate,No,Has a partner,French only,Yes
54,Female,"Less than $25,000",Alberta,College or certificate,No,Single,English only,Yes
80,Male,"Less than $25,000",Ontario,Less than high school,Yes,Single,English only,No
62,Female,"$25,000 to $49,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,No
46,Female,"$125,000 and more",Newfoundland and Labrador,Above bachelor,Yes,Has a partner,English only,Yes
52,Male,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
32,Female,"$50,000 to $74,999",British Columbia,Bachelor's degree,No,Single,English only,Yes
67,Female,"$25,000 to $49,999",Quebec,Less than high school,Yes,Has a partner,French only,No
